"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","yr","mo"
"Diversity is a strength, not a weakness. The GOP disagrees: https://t.co/uirbqn8YAq",FALSE,1204,NA,2015-09-23 17:45:12,FALSE,NA,"646742121433726976",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",988,FALSE,FALSE,NA,NA,2015,9
"""Baseball is 90% mental—the other half is physical."" Yogi gave everything at least 140%. We'll miss him. My prayers are with his family. -H",FALSE,1260,NA,2015-09-23 15:38:36,FALSE,NA,"646710261659881474",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",497,FALSE,FALSE,NA,NA,2015,9
"Hillary is joining Tom Joyner on the @TJMShow! Tune in → http://t.co/dpg08DaOwu",FALSE,219,NA,2015-09-23 12:42:43,FALSE,NA,"646666000348352512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HillaryClinton",118,FALSE,FALSE,NA,NA,2015,9
"Good that Turing will lower an essential drug's price. Hillary's plan would prevent price gouging in the first place: http://t.co/bcNtasrkMN",FALSE,914,NA,2015-09-23 02:04:30,FALSE,NA,"646505389383618560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HillaryClinton",465,FALSE,FALSE,NA,NA,2015,9
"Time to invest in a clean energy future—not build a pipeline to carry our continent's dirtiest fuel across the US. I oppose Keystone XL. -H",FALSE,2133,NA,2015-09-23 00:56:29,FALSE,NA,"646488271871213568",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1270,FALSE,FALSE,NA,NA,2015,9
"Good. https://t.co/UkOr0vfeHX",FALSE,1465,NA,2015-09-22 22:59:42,FALSE,NA,"646458881519054849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",729,FALSE,FALSE,NA,NA,2015,9
"@deray: Let's meet; we want to hear from anyone ready to address this urgent problem and work toward solutions. Our team will follow up.",FALSE,1623,"deray",2015-09-22 22:40:36,FALSE,"645947792003887104","646454072732614657","29417304","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1139,FALSE,FALSE,NA,NA,2015,9
"Wishing an easy fast for all those observing Yom Kippur.",FALSE,1108,NA,2015-09-22 22:18:11,FALSE,NA,"646448431158984704",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",425,FALSE,FALSE,NA,NA,2015,9
"Hillary's prescription plan would cap out-of-pocket costs at $250 per month. What would you do with your savings? http://t.co/bTIkVKAdkl",FALSE,986,NA,2015-09-22 20:17:07,FALSE,NA,"646417965529698305",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",529,FALSE,FALSE,NA,NA,2015,9
"""If we’re serious about raising people’s incomes, we have to bring down out-of-pocket costs."" —Hillary",FALSE,755,NA,2015-09-22 20:05:24,FALSE,NA,"646415015201927168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",353,FALSE,FALSE,NA,NA,2015,9
"""If we’re serious about raising people’s incomes, we have to bring down out-of-pocket costs."" —Hillary",FALSE,755,NA,2015-09-22 20:05:24,FALSE,NA,"646415015201927168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",353,FALSE,FALSE,NA,NA,2015,9
"""If the medicine you need costs less in Canada, you should be able to buy it from Canada—or any country that meets our safety standards.""",FALSE,1443,NA,2015-09-22 20:02:45,FALSE,NA,"646414350362779648",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",799,FALSE,FALSE,NA,NA,2015,9
"""Under my plan, I’ll cap out-of-pocket drug costs for families. You won’t have to pay more than $250/month for covered medications.""—Hillary",FALSE,714,NA,2015-09-22 20:01:16,FALSE,NA,"646413978629984256",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",329,FALSE,FALSE,NA,NA,2015,9
"Hillary’s prescription drug reform plan: ""I want to both protect consumers and promote innovation—while putting an end to profiteering.""",FALSE,925,NA,2015-09-22 19:56:26,FALSE,NA,"646412760444719104",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",375,FALSE,FALSE,NA,NA,2015,9
"The uninsured rate is the lowest in decades, but prescription costs, out-of-pocket costs, and premiums are growing. We need to do better.",FALSE,669,NA,2015-09-22 19:51:42,FALSE,NA,"646411567119106048",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",312,FALSE,FALSE,NA,NA,2015,9
"Hillary on her plan to stop drug companies' price gouging, boost innovation, and keep money in families' pockets → http://t.co/IzqXHljV8R",FALSE,537,NA,2015-09-22 19:41:27,FALSE,NA,"646408990985973760",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",317,FALSE,FALSE,NA,NA,2015,9
"Outrageous. When companies put profits ahead of safety and the environment, there should be consequences. https://t.co/8zQ6sQp4hz",FALSE,888,NA,2015-09-22 18:17:58,FALSE,NA,"646387978810560512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",581,FALSE,FALSE,NA,NA,2015,9
"The best way to celebrate National Voter Registration Day: Register to vote! → http://t.co/7HK2N8lVRo #CelebrateNVRD",FALSE,570,NA,2015-09-22 15:38:35,FALSE,NA,"646347872040939520",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",650,FALSE,FALSE,NA,NA,2015,9
"We need labor law reform. The #WAGEAct would protect workers' rights, now Congress should pass it. -H",FALSE,605,NA,2015-09-22 13:02:04,FALSE,NA,"646308481545433088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HillaryClinton",353,FALSE,FALSE,NA,NA,2015,9
"David Axelrod, former Senior Advisor to President Obama, on Hillary’s greatest accomplishments. http://t.co/mrlJNtvFye",FALSE,787,NA,2015-09-22 12:10:08,FALSE,NA,"646295410454073346",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",444,FALSE,FALSE,NA,NA,2015,9
"http://t.co/Eb9I7oMbY0",FALSE,4069,NA,2015-09-22 02:08:41,FALSE,NA,"646144054036557824",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2047,FALSE,FALSE,NA,NA,2015,9
"Every child deserves the opportunity to succeed, no matter who their parents are or where they’re from.
https://t.co/nAH4oLRfLo",FALSE,1646,NA,2015-09-22 00:37:36,FALSE,NA,"646121130617470976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",942,FALSE,FALSE,NA,NA,2015,9
"Couldn't agree more, @HumaAbedin. Welcome to Twitter! https://t.co/T8hBwqschV",FALSE,1745,NA,2015-09-21 23:22:25,FALSE,NA,"646102208765894657",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",736,FALSE,FALSE,NA,NA,2015,9
"Hillary on what the attacks against Planned Parenthood are really about:
https://t.co/fmc7ZD6fq8",FALSE,1160,NA,2015-09-21 22:33:28,FALSE,NA,"646089892196323328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",716,FALSE,FALSE,NA,NA,2015,9
"HBCUs serve some of our brightest students and are a bridge to equal opportunity. Proud to support them this #HBCUweek and year round. -H",FALSE,958,NA,2015-09-21 18:40:29,FALSE,NA,"646031260364705792",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1066,FALSE,FALSE,NA,NA,2015,9
"At the #Emmys, @violadavis became the first black woman to win Outstanding Lead Actress in a drama. Bravo, Viola! http://t.co/y6wDrj22aG",FALSE,2600,NA,2015-09-21 17:39:24,FALSE,NA,"646015887221374976",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1398,FALSE,FALSE,NA,NA,2015,9
"Can a Muslim be President of the United States of America? In a word: Yes. Now let's move on. -H http://t.co/AB99hiUPie",FALSE,7379,NA,2015-09-21 15:55:28,FALSE,NA,"645989733055758336",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",6331,FALSE,FALSE,NA,NA,2015,9
"Price gouging like this in the specialty drug market is outrageous. Tomorrow I'll lay out a plan to take it on. -H https://t.co/9Z0Aw7aI6h",FALSE,2762,NA,2015-09-21 14:56:01,FALSE,NA,"645974772275408896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2364,FALSE,FALSE,NA,NA,2015,9
"Hillary’s work “was an important part of the reason their lives were better.” http://t.co/xGKG5tU7qM",FALSE,485,NA,2015-09-21 14:28:46,FALSE,NA,"645967912864452608",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",311,FALSE,FALSE,NA,NA,2015,9
"""These are our moms and our dads.” Keith from New Hampshire thanks Hillary for speaking up for caregivers:
https://t.co/KEnIge8HFJ",FALSE,612,NA,2015-09-21 12:02:34,FALSE,NA,"645931118953234433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",297,FALSE,FALSE,NA,NA,2015,9
"A moving moment backstage: ""I'm taking care of my mom, she has Alzheimer's...thank you for speaking up for that.""
https://t.co/yOWjZoHY3Q",FALSE,1345,NA,2015-09-21 03:01:29,FALSE,NA,"645794949967904768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",669,FALSE,FALSE,NA,NA,2015,9
"On September 20, 1973, tennis star @BillieJeanKing defeated Bobby Riggs in a match titled “The Battle of the Sexes.” http://t.co/N4MsCT0fn1",FALSE,1079,NA,2015-09-20 23:40:51,FALSE,NA,"645744462661087232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",586,FALSE,FALSE,NA,NA,2015,9
"Hillary: A champion for women’s rights. http://t.co/ku922NGL2y",FALSE,760,NA,2015-09-20 22:25:59,FALSE,NA,"645725622023524352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",413,FALSE,FALSE,NA,NA,2015,9
"Where are we on gefilte fish? Hillary talks emails with @JimmyFallon.
https://t.co/bYCA9j8pej",FALSE,871,NA,2015-09-20 21:18:50,FALSE,NA,"645708722568761344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",366,FALSE,FALSE,NA,NA,2015,9
"Carly Fiorina challenged Democrats to name an accomplishment of Hillary’s. @SenatorLeahy accepted: http://t.co/GvqmSQwocN",FALSE,978,NA,2015-09-20 20:03:03,FALSE,NA,"645689647964684288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",463,FALSE,FALSE,NA,NA,2015,9
"Keith from NH works part-time so he can care for his mom. He shared his story with Hillary: http://t.co/I01hCm69Pg http://t.co/LoGi99fGPb",FALSE,528,NA,2015-09-20 18:58:47,FALSE,NA,"645673474862804993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",277,FALSE,FALSE,NA,NA,2015,9
"""I cannot imagine anyone being more of an outsider than the first woman president.""
https://t.co/ybAEte5WkO",FALSE,1381,NA,2015-09-20 16:48:37,FALSE,NA,"645640717478432768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",754,FALSE,FALSE,NA,NA,2015,9
"""I believe in America, we should have each other’s backs."" Watch Hillary at #nhdems2016:
https://t.co/ITmKiVEhhx",FALSE,1265,NA,2015-09-20 14:25:16,FALSE,NA,"645604642055827457",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",718,FALSE,FALSE,NA,NA,2015,9
".@POTUS is right: When we ensure black women and girls have the opportunity to live up to their God-given potential, America gets ahead. -H",FALSE,2393,NA,2015-09-20 02:28:00,FALSE,NA,"645424136689426432",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1090,FALSE,FALSE,NA,NA,2015,9
"What Every 20-Something Should Know About Hillary Clinton: http://t.co/72dCwQdDM6 via @Refinery29",FALSE,571,NA,2015-09-20 01:25:06,FALSE,NA,"645408307205697536",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",377,FALSE,FALSE,NA,NA,2015,9
